hostname;port;description
swLPD-02;gi1/0/1;AP_LPD-02-1
swLPD-05;gi1/0/1;AP_LPD-05-1
swLPD-03;gi1/0/1;AP_LPD-03-1
swLPD-01;gi1/0/1;AP_LPD_01-1
swLPD-04;gi1/0/1;AP_LPD-04-1
swLPD-02;gi1/0/2;PC_MAGAZYN_09
swLPD-01;gi1/0/3;AP_LPD_01-2
swLPD-05;gi1/0/3;AP_LPD-05-2
swLPD-03;gi1/0/3;AP_LPD-03-2
swLPD-04;gi1/0/3;AP_LPD-04-2
swLPD-02;gi1/0/3;AP_LPD-02-2
swLPD-01;gi1/0/5;AP_LPD_01-3
swLPD-03;gi1/0/5;AP_LPD-03-3
swLPD-05;gi1/0/5;AP_LPD-05-3
swLPD-04;gi1/0/5;AP_LPD-04-3
swLPD-03;gi1/0/7;PC_MAGAZYN_07
swLPD-04;gi1/0/7;AP_LPD-04-4
swLPD-02;gi1/0/5;AP_LPD-02-5
swLPD-05;te1/0/1;swGPD-SA
swLPD-01;te1/0/1;swGPD-SA
swLPD-03;gi1/0/9;D_ETYKIET_002
swLPD-06;gi1/0/1;AP_LPD-06-1
swLPD-07;gi1/0/1;AP_LPD-07-1
swLPD-02;te1/0/1;swGPD-SA
swLPD-04;gi1/0/9;AP_LPD-04-5
swLPD-06;gi1/0/3;AP_LPD-06-3
swLPD-03;gi1/0/11;PC_MAGAZYN_12
swLPD-08;gi1/0/1;AP_LPD-08-1
swLPD-04;gi1/0/11;AP_LPD-04-6
swLPD-07;gi1/0/3;AP_LPD-07-2
swLPD-06;gi1/0/5;AP_LPD-06-2
swLPD-08;gi1/0/3;AP_LPD-08-2
swLPD-03;gi1/0/47;KD_255.10
swLPD-07;gi1/0/5;AP_LPD-07-3
swLPD-04;gi1/0/13;PC_WSTRYCZEK
swLPD-06;gi1/0/47;KD_255.12
swLPD-08;gi1/0/5;AP_LPD-08-3
swLPD-03;te1/0/1;swGPD-SA
swLPD-07;gi1/0/7;AP_LPD-07-4
swLPD-04;gi1/0/15;PC_BJEDRYSIAK
swLPD-06;te1/0/1;swGPD-SA
swLPD-08;gi1/0/7;PC_BMOS
swLPD-07;gi1/0/9;AP_LPD-07-5
swLPD-09;gi1/0/1;AP_LPD-09-1
swLPD-04;gi1/0/17;D_10.80
swLPD-10;gi1/0/1;AP_LPD-10-1
swLPD-08;gi1/0/11;D_10.73
